bl,Smite 2 Username,Vetted Division,Smite 2 Tracker.gg Link,Discord Username,What was your placement in BSL season 1?,What division do you think you should be placed in?,What is your main Role,What is your secondary Role (If you have one),Are you interested in being a captain?,Availability [Mondays],Availability [Tuesdays],Availability [Wednesdays],Availability [Thursdays],Availability [Fridays],Availability [Saturdays],Availability [Sundays],BSL is a Saturday League;  Do you acknowledge that default will be on Saturday and that you have to the best of your understanding the day available to play? 
12/7/2025 21:01:12,Jigzyo,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198860974346/overview?gamemode=conquest-ranked&season=3,Jigz,Didn't Play,Ishtar,Mid,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/6/2025 18:14:16,Joshthelandlord,Drafted Players,Joshthelandlord (it’s bugged and won’t find me?),Joshthelandlord,Ishtar,Tiamat,Mid,Fill,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/3/2025 17:26:00,JustinMcConnel,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198262021721/overview?gamemode=conquest-ranked&season=3,erik.0001,Didn't Play,Gilgamesh,Mid,ADC,No,No,No,No,No,Yes,Yes,Yes,available
12/2/2025 4:40:21,Justletmeshine,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199057603706/overview?gamemode=conquest-ranked&season=3,Justletmeshine,Didn't Play,,Mid,Jungle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/2/2025 22:38:10,LenKanu32,Drafted Players,https://tracker.gg/smite2/profile/psn/LenKanu32/overview?gamemode=conquest-ranked&season=3,Len Kanu,Enkidu,Enkidu,Mid,Jungle,No,Yes,No,No,Yes,No,Yes,Yes,available
12/6/2025 17:25:18,Lil Pudduie,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198880339489/overview?gamemode=conquest-ranked&season=3,lhaqe,Didn't Play,Gilgamesh,Mid,Support,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/7/2025 21:26:23,Madame Herta ,Drafted Players,https://tracker.gg/smite2/profile/epic/Madame%20Herta/overview?gamemode=conquest-ranked&season=3,.Skylus ,Didn't Play,Enkidu,Mid,Solo,No,No,No,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 12:23:07,MommyMousey,Drafted Players,https://tracker.gg/smite2/profile/epic/ScaryCreap/overview?gamemode=conquest-ranked&season=3,juicywussy,Didn't Play,,Mid,Support,No,Yes,Yes,Yes,Yes,No,Yes,Yes,available
12/4/2025 13:24:51,MythosWorkshop,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198375432141/overview?gamemode=conquest&season=3,MythosWorkshop,Ishtar,Ishtar,Mid,Solo,No,No,No,No,Yes,No,No,Yes,available
12/4/2025 23:13:52,No1ActuallyCares,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198183901887/overview?gamemode=conquest-ranked&season=3,NaFam,Enkidu,Enkidu,Mid,Jungle,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 23:56:39,OrangeChicken422,Drafted Players,https://tracker.gg/smite2/profile/epic/OrangeChicken422/overview?gamemode=conquest-ranked&season=3,_slic3r,Didn't Play,Gilgamesh,Mid,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 10:50:56,Pheenin,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199569538625/overview?gamemode=conquest-ranked,Pheenin,Didn't Play,,Mid,Jungle,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:09:42,Pineappleislazy,Drafted Players,https://tracker.gg/smite2/profile/psn/PineappleIsLazy/overview?gamemode=conquest-ranked&season=3,pineappleislazy,Gilgamesh,Gilgamesh,Mid,Jungle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,available
12/2/2025 18:33:37,Ponder,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199657396178/overview?gamemode=conquest-ranked&season=3,ponder.,Didn't Play,Tiamat,Mid,Fill,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/3/2025 17:37:41,PowderPounce,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198155385687/overview?gamemode=conquest-ranked&season=3,Lysdesxia,Didn't Play,Ishtar,Mid,Solo,No,Yes,No,No,Yes,Yes,Yes,Yes,available
12/9/2025 16:51:42,Prosmic,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198309845947/overview?gamemode=conquest-ranked&season=3,Prosmic,Didn't Play,Ishtar,Mid,Fill,No,No,No,No,No,No,Yes,Yes,available
12/1/2025 8:44:04,Ptolomey,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198123908233/overview?gamemode=conquest-ranked&season=3,ptolomey,Ishtar,Tiamat,Mid,Jungle,No,No,Yes,No,Yes,Yes,Yes,Yes,available
12/1/2025 8:09:02,RoughMarshmllow,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199117184340/overview?gamemode=conquest-ranked&season=3,marsh2668,Ishtar,Gilgamesh,Mid,Solo,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:15:05,sehost,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198162504382,sehost,Didn't Play,Tiamat,Mid,Fill,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/3/2025 17:33:35,SeishinBan,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198801904431/overview?gamemode=conquest-ranked&season=3,seishinban,Ishtar,Gilgamesh,Mid,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/9/2025 14:25:51,Sifu,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198154840079/overview?gamemode=conquest-ranked&season=3,namessifu,Didn't Play,Ishtar,Mid,Jungle,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/3/2025 7:22:17,Skattebo,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199262318124/overview?gamemode=conquest-ranked&season=3,Drezy,Didn't Play,Tiamat,Mid,Support,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:32:46,Tandemation,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198169135391/overview?gamemode=conquest-ranked&season=3,Tandemation,Didn't Play,Ishtar,Mid,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/7/2025 21:54:09,Tenebrises,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198801132575/overview?gamemode=conquest-ranked&season=3,Tenebrises,Didn't Play,Tiamat,Mid,Support,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 20:28:51,The Dutch Creamery,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199261759568/overview?gamemode=conquest-ranked&season=3,unstrick,Ishtar,Ishtar,Mid,Mid,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/3/2025 9:50:05,TheAronFreyr,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198065586187/overview?gamemode=conquest-ranked&season=3,TheAronFreyr,Gilgamesh,Ishtar,Mid,Fill,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/4/2025 20:02:16,TheFlash1892,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199247078228/overview?gamemode=conquest-ranked&season=3,TheFlash1892,Gilgamesh,Enkidu,Mid,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/2/2025 19:48:11,Veroxas,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198813672344/overview?gamemode=conquest-ranked&season=3,mist309,Gilgamesh,Gilgamesh,Mid,Jungle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
45992.47164,WailmerEnjoyer,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199191296486/,imintegrity,Didn't Play,Gilgamesh,Mid,Jungle,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,available
12/8/2025 16:43:13,WalmartYotsuyu,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199472778873/overview?gamemode=conquest-ranked&season=3,scottie2hotty,Didn't Play,Tiamat,Mid,Jungle,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 12:00:29,Xarxith,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198095615813,Xarxith,Ishtar,Ishtar,Mid,ADC,No,No,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:09:13,Xen,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198279009056/overview?gamemode=conquest-ranked&season=3,xenesa,Didn't Play,Tiamat,Mid,Jungle,No,No,No,No,No,No,Yes,Yes,available
12/1/2025 9:20:59,xXLordPoseidonXx,Drafted Players,tracker.gg/smite2/profile/steam/76561198189105446/overview,xXLordPoseidonXx,Enkidu,Enkidu,Mid,ADC,No,Yes,No,Yes,Yes,Yes,Yes,Yes,available
12/6/2025 19:21:47,zapzy,Drafted Players,zapzy,zapzy,Ishtar,Enkidu,Mid,Mid,No,No,No,No,No,No,Yes,Yes,available
12/7/2025 9:50:35,zenosyne,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198808677256/overview?gamemode=conquest-ranked&season=3,zenosyne._,Didn't Play,Gilgamesh,Mid,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 9:26:56,恩培 (Empen if it needs to be in English),Drafted Players,https://tracker.gg/smite2/profile/steam/76561198068125590/overview?gamemode=conquest-ranked&season=3,Empenstri,Didn't Play,Tiamat,Mid,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/5/2025 4:52:11,Aakivo Nakamura,Drafted Players,https://tracker.gg/smite2/profile/xbl/Aakivo%20Nakamura/overview?gamemode=conquest-ranked&season=3,aakivonakamura,Gilgamesh,Gilgamesh,Solo,Support,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 12:09:09,Ant,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198045466204/overview?gamemode=conquest-ranked&season=3,Antman62,Didn't Play,Ishtar,Solo,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 16:43:12,Azteck,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198273246188/overview?gamemode=conquest-ranked&season=3,azteck.,Didn't Play,Enkidu,Solo,Support,No,No,No,No,No,No,No,No,not available
12/10/2025 15:17:53,BravelEagle,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199198518006/overview?gamemode=conquest-ranked&season=3,BraveEagle,Didn't Play,Gilgamesh,Solo,Mid,No,No,No,No,No,No,Yes,Yes,available
12/6/2025 10:43:27,CaesarBama,Drafted Players,https://tracker.gg/smite2/profile/xbl/CaesarBama/overview?gamemode=conquest-ranked&season=3,caesarbama,Gilgamesh,Enkidu,Solo,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/2/2025 14:21:07,CaptainBoat6954,Drafted Players,https://tracker.gg/smite2/profile/xbl/CaptainBoat6954/overview?gamemode=conquest-ranked&season=3,Chemosabe,Enkidu,Enkidu,Solo,Support,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/2/2025 18:34:46,celestinewishes,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198283114232,celestewish,Enkidu,Enkidu,Solo,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/9/2025 11:52:20,Cole,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198135853491/overview?gamemode=conquest-ranked&season=3,Cole.M,Didn't Play,Gilgamesh,Solo,Fill,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 9:37:26,Comadity,Drafted Players,https://tracker.gg/smite2/profile/xbl/Comadity/overview?gamemode=conquest-ranked&season=3,Comadity,Enkidu,Enkidu,Solo,Mid,Yes,Yes,Yes,No,Yes,No,Yes,Yes,available
12/12/2025 10:47:39,CorbinLD,Drafted Players,https://tracker.gg/smite2/profile/psn/CorbinLD/overview?gamemode=conquest-ranked&season=3,corbinld,Didn't Play,Ishtar,Solo,Support,No,Yes,Yes,Yes,Yes,Yes,No,Yes,available
12/3/2025 4:39:20,Crow,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199400990980/overview?gamemode=conquest-ranked,king_corvid,Didn't Play,Tiamat,Solo,Jungle,No,No,No,No,No,No,Yes,Yes,available
12/17/2025 14:55:59,DepthsPC,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198290773744/overview?gamemode=conquest-ranked&season=3,imdepths,Didn't Play,Enkidu,Solo,Mid,No,Yes,No,No,No,No,Yes,Yes,available
12/7/2025 10:38:58,Double,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199172220509/overview?gamemode=conquest-ranked&season=3,Double,Didn't Play,Ishtar,Solo,Support,No,Yes,No,Yes,No,Yes,Yes,Yes,available
12/1/2025 19:04:39,Duckaronii,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199071104153/overview?gamemode=conquest-ranked&season=3,AggressiveDuck,Didn't Play,Gilgamesh,Solo,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 9:08:28,fasinehdadolphin,Drafted Players,https://tracker.gg/smite2/profile/psn/fasinehdadolphin/overview?gamemode=conquest-ranked&season=3,gumplol,Didn't Play,,Solo,Support,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 11:32:44,Fonzol,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198248513856,Fonzol,Didn't Play,Ishtar,Solo,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,No,available
12/19/2025 19:51:01,Grover,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198999658666/matches?gamemode=conquest-ranked,NotUrAvgMinion,Didn't Play,Ishtar,Solo,Jungle,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:12:53,ilphaesn,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199113985399/overview?gamemode=conquest-ranked&season=3,ilphaesn,Didn't Play,Ishtar,Solo,Jungle,No,Yes,No,Yes,Yes,Yes,Yes,Yes,available
12/8/2025 22:19:23,Inertia,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198132073753/overview?gamemode=conquest-ranked&season=3,Straxer,Enkidu,Enkidu,Solo,Support,No,No,No,No,No,No,Yes,Yes,available
12/19/2025 18:09:56,jMadAvenger,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198087751615/overview?gamemode=conquest-ranked&season=3,jmadavenger,Didn't Play,,Solo,Support,No,Yes,No,No,No,Yes,Yes,Yes,available
12/1/2025 19:12:37,Kingston5810,Drafted Players,https://tracker.gg/smite2/profile/xbl/Kingston5810/overview?gamemode=conquest-ranked&season=3,Kingston5810,Enkidu,Enkidu,Solo,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 16:55:48,Kuma,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199184709689/overview?gamemode=conquest-ranked&season=3,Kuma,Ishtar,Ishtar,Solo,Support,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/6/2025 22:11:51,LegacyUnknown,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198856071092/overview?role=solo&gamemode=conquest-ranked&season=3,LegacyUnknown,Didn't Play,Tiamat,Solo,Jungle,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/4/2025 16:53:47,Lord_Garfield,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198391462679/overview?gamemode=conquest-ranked&season=3,david_0512_,Didn't Play,Tiamat,Solo,Solo,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:32:05,mattduck,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198239408426/overview?,Mattduck,Enkidu,Tiamat,Solo,Solo,Yes,No,Yes,No,Yes,Yes,Yes,Yes,available
12/1/2025 8:32:05,Matty_Mo_3,Drafted Players,https://tracker.gg/smite2/profile/psn/Matty_Mo_3/matches?gamemode=conquest-ranked&season=3,mattymo3,Gilgamesh,,Solo,Jungle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,available
12/1/2025 11:26:05,Melody,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199001611891/overview?gamemode=conquest-ranked&season=3,Taylor_8580,Didn't Play,Tiamat,Solo,Solo,No,Yes,No,Yes,Yes,No,Yes,Yes,available
12/4/2025 18:38:03,MinkStinkus,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199436067590/overview?gamemode=conquest-ranked&season=3,Minkstinkus,Tiamat ( vetted out),Enkidu,Solo,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/8/2025 17:53:01,MrBigGeeenLeaf,Drafted Players,https://tracker.gg/smite2/profile/psn/MrBigGreenLeaf/overview?gamemode=conquest-ranked&season=3,Dammitdiscrd,Didn't Play,Ishtar,Solo,Support,No,No,Yes,Yes,Yes,Yes,Yes,Yes,available
12/10/2025 4:18:14,msbindy,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198219012893/overview?gamemode=conquest-ranked&season=3,msbindy,Didn't Play,Ishtar,Solo,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/3/2025 7:30:34,MunchingBoo,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198163529393/matches?gamemode=conquest-ranked&season=3,MunchingBoo,Tiamat ( vetted out),Tiamat,Solo,ADC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/12/2025 10:47:18,Musi,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198258287144/overview?gamemode=conquest-ranked&season=3,Musi,Didn't Play,Tiamat,Solo,ADC,No,No,Yes,Yes,Yes,Yes,Yes,Yes,available
12/5/2025 4:02:16,Musician,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198083452326/overview?gamemode=conquest-ranked&season=3,musician_,Didn't Play,Tiamat,Solo,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 14:34:38,Noxiss2015 ,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198105335224/overview?gamemode=conquest-ranked&season=3,Noxiss,Gilgamesh,Enkidu,Solo,Jungle,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/15/2025 11:26:35,OnlyShelton,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198401262509/overview?gamemode=conquest-ranked&season=3,OnlyShelton,Didn't Play,Enkidu,Solo,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 9:05:11,ORIONPAX,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198069783124/overview?gamemode=conquest-ranked&season=3,ORIONPAX009 (PAX),Enkidu,Enkidu,Solo,Jungle,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,available
12/11/2025 10:18:05,Pávise,Drafted Players,https://tracker.gg/smite2/profile/epic/P%C3%A1vise/overview?gamemode=conquest-ranked&season=3,pavise1,Didn't Play,Tiamat,Solo,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/11/2025 18:39:58,Rush,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199091622190/overview?gamemode=conquest-ranked&season=3,Rush#2244,Didn't Play,Ishtar,Solo,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/10/2025 20:33:41,SaintZaps,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198071795719/overview?gamemode=conquest-ranked&season=3,SaintZaps,Didn't Play,Tiamat,Solo,Jungle,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/2/2025 20:18:32,Snoo,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198986239459/overview?gamemode=conquest-ranked&season=3,Snoozism,Didn't Play,Gilgamesh,Solo,Jungle,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/2/2025 19:31:13,SONIC RefuGee,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199052812779/overview?gamemode=conquest-ranked&season=3,Sonicrefugee,Ishtar,Gilgamesh,Solo,Support,No,Yes,Yes,Yes,No,Yes,Yes,No,available
12/1/2025 21:08:11,Thesweatysacks ,Drafted Players,thesweatysacks's SMITE 2 Overview Stats - SMITE 2 Tracker https://share.google/2IzBabh56Fkx37UO2,Thesweatysacks ,Gilgamesh,Gilgamesh,Solo,ADC,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,available
12/5/2025 23:20:25,timer,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199385547686/overview?gamemode=conquest-ranked&season=3,timerr1k,Didn't Play,Tiamat,Solo,Mid,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/9/2025 15:02:20,Zekr40u,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198018789884/overview?gamemode=conquest-ranked&season=3,zekr40ui                     (BTW im free 1 week-end then the next one im not then the other one im free) it always like that,Tiamat ( vetted out),Tiamat,Solo,Solo,No,Yes,No,Yes,No,Yes,Yes,Yes,available
12/1/2025 8:28:15,~(_'> brandon,Drafted Players,https://tracker.gg/smite2/profile/steam/76561197972285353,brandon2741,Gilgamesh,Gilgamesh,Support,Support,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 11:24:26,Asinus,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198871864508/overview?gamemode=conquest-ranked&season=3,Asinus,Ishtar,Tiamat,Support,Support,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/12/2025 15:20:32,big o,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198008441058/overview?gamemode=conquest-ranked,big o,Didn't Play,Enkidu,Support,Solo,No,No,No,No,No,No,Yes,Yes,available
12/4/2025 6:23:56,Bi𝓁𝓁Cosby,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199674612611/overview?gamemode=conquest-ranked&season=3,Talonreese,Didn't Play,Gilgamesh,Support,Solo,No,No,No,Yes,Yes,Yes,Yes,Yes,available
12/8/2025 19:35:44,Boolzei,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199041788470/overview?gamemode=conquest-ranked&season=3,boolzei,Didn't Play,Enkidu,Support,Fill,No,No,No,No,Yes,No,Yes,Yes,available
12/2/2025 14:46:17,BoxingTyler,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198925066251/overview?gamemode=conquest-ranked&season=3,Boxingtyler,Ishtar,Tiamat,Support,Solo,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/2/2025 20:09:47,CamazotzWasTaken,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198800074981/overview?gamemode=conquest-ranked&season=3,.camazotz.,Didn't Play,Tiamat,Support,Fill,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:19:33,CrispeeHouse ,Drafted Players,https://tracker.gg/smite2/profile/xbl/CrispeeHouse/overview?gamemode=conquest-ranked&season=3,CrispeeHouse ,Enkidu,Gilgamesh,Support,Fill,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/2/2025 15:38:19,Dark Oiguelito,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198325714065/overview?gamemode=conquest-ranked&season=3,Jaggiyy,Didn't Play,Tiamat,Support,Jungle,No,Yes,Yes,Yes,Yes,No,Yes,Yes,available
12/22/2025 19:33:10,DarthDumbledore,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198039943685/overview?gamemode=conquest&season=3,DarthDumbledore,Didn't Play,Enkidu,Support,Mid,No,No,Yes,Yes,Yes,Yes,Yes,Yes,available
12/9/2025 0:03:38,Debo,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198875515131/overview?gamemode=conquest-ranked&season=3,Debo203,Didn't Play,Gilgamesh,Support,Mid,No,Yes,No,Yes,No,Yes,Yes,Yes,available
12/6/2025 10:38:14,Diese,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198844971272/overview,Diese,Didn't Play,Enkidu,Support,Jungle,No,Yes,No,No,Yes,Yes,Yes,Yes,available
12/6/2025 17:20:44,DoubleTheDB,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198876872754/overview?gamemode=conquest-ranked,doublethedb (Double A),Gilgamesh,Enkidu,Support,Support,No,Yes,Yes,Yes,Yes,No,Yes,No,available
12/1/2025 8:27:09,ECBinsen,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198048169838/overview?gamemode=conquest-ranked&season=3,binsen,Tiamat ( vetted out),Tiamat,Support,Solo,No,No,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:59:55,GAMEOVER_ME234,Drafted Players,https://tracker.gg/smite2/profile/psn/GAMEOVER_ME234/overview?gamemode=conquest-ranked&season=3,GAMEOVER_ME234,Enkidu,Enkidu,Support,Jungle,Yes,No,No,No,No,No,Yes,Yes,available
12/4/2025 10:45:25,Geyo,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199468381255/overview?gamemode=conquest-ranked&season=3,Geyo,Didn't Play,Gilgamesh,Support,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,No,available
12/6/2025 8:46:26,GrayPolarBear,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198405358180/overview?gamemode=conquest-ranked&season=3,graypolarbear,Didn't Play,Enkidu,Support,Solo,No,No,No,Yes,No,Yes,Yes,Yes,available
12/1/2025 20:37:30,Helerine,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198205248599/overview?gamemode=conquest-ranked&season=3,duelerine,Didn't Play,Gilgamesh,Support,Mid,No,No,No,No,No,No,Yes,Yes,available
12/1/2025 8:20:11,HiDigits.,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199375368255/overview?gamemode=conquest-ranked&season=3,Hidigits,Didn't Play,Tiamat,Support,Fill,No,No,No,Yes,No,Yes,Yes,No,available
12/2/2025 16:39:42,iiZakore,Drafted Players,https://tracker.gg/smite2/profile/xbl/iiZakore/overview?gamemode=conquest-ranked&season=3,iizakore,Enkidu,Gilgamesh,Support,Solo,No,Yes,No,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 12:48:06,InspectorCody,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198434092040/overview?gamemode=conquest-ranked&season=3,phantomcody,Didn't Play,Enkidu,Support,Solo,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:44:15,JorkinThemSoftly,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199085393339/overview?gamemode=conquest-ranked&season=3,unrealtactics,Didn't Play,Gilgamesh,Support,Jungle,No,Yes,Yes,No,No,Yes,Yes,No,available
12/1/2025 12:46:34,JoshyPooLuvsYoo,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198158371147/overview?gamemode=conquest-ranked&season=3,joshypooluvsyoo,Didn't Play,Gilgamesh,Support,Fill,No,Yes,Yes,No,Yes,Yes,Yes,Yes,available
12/1/2025 8:09:24,JugemuOIbad,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198322019393/overview?gamemode=conquest-ranked&season=3,.oibaf,Enkidu,Enkidu,Support,Fill,No,No,Yes,Yes,Yes,Yes,Yes,Yes,available
12/2/2025 20:06:53,Kc Canna,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198272639974/overview?gamemode=conquest-ranked,Starryisacutie,Didn't Play,Tiamat,Support,Mid,No,Yes,Yes,Yes,Yes,No,Yes,Yes,available
12/7/2025 7:26:15,kcut,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199169829800/overview?gamemode=conquest-ranked&season=3,the_rekcut             ***kcut***,Tiamat ( vetted out),Tiamat,Support,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
