bl,Smite 2 Username,Vetted Division,Smite 2 Tracker.gg Link,Discord Username,What was your placement in BSL season 1?,What division do you think you should be placed in?,What is your main Role,What is your secondary Role (If you have one),Are you interested in being a captain?,Availability [Mondays],Availability [Tuesdays],Availability [Wednesdays],Availability [Thursdays],Availability [Fridays],Availability [Saturdays],Availability [Sundays],BSL is a Saturday League;  Do you acknowledge that default will be on Saturday and that you have to the best of your understanding the day available to play? 
12/3/2025 11:53:31,ImNotRoyalT ,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198213123067/overview?gamemode=conquest-ranked&season=3,ImNotRoyalT ,Didn't Play,Ishtar,Jungle,ADC,No,Yes,No,Yes,Yes,Yes,Yes,No,available
12/3/2025 17:09:58,istealbuffs,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199396377207/overview?gamemode=conquest-ranked&season=3,istealbuffs,Didn't Play,Gilgamesh,Jungle,Solo,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 14:51:53,Jboys1970,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199851381749/overview?gamemode=conquest-ranked&season=3,Jboys1970,Didn't Play,Gilgamesh,Jungle,Solo,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/5/2025 12:22:53,JungleXJimmy,Drafted Players,JungleXJimmy,JungleXJimmy,Gilgamesh,,Jungle,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:38:21,JustinWho,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199054824066/overview?gamemode=conquest-ranked&season=3,Reluctance.,Didn't Play,,Jungle,ADC,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 9:08:17,Kaíiì,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198079533121/overview?gamemode=conquest-ranked&season=3,.kai82,Ishtar,Enkidu,Jungle,Jungle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/6/2025 13:38:04,KaneTempest,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198380260927/overview?gamemode=conquest-ranked&season=3,kane.tempest,Didn't Play,Tiamat,Jungle,Solo,No,Yes,No,No,No,Yes,Yes,Yes,available
12/1/2025 12:00:29,kernoin,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198139641305/overview?gamemode=conquest-ranked&season=3,kernoin,Didn't Play,Tiamat,Jungle,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/9/2025 8:21:03,Kgluckyme,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198268145472/overview?gamemode=conquest-ranked&season=3,Kgluckyme,Didn't Play,Gilgamesh,Jungle,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 11:53:56,Klono,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199006320839/overview?gamemode=conquest-ranked&season=3,klon._.,Didn't Play,Ishtar,Jungle,Mid,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/4/2025 15:58:58,LILCUBA,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198180081273/overview?gamemode=conquest-ranked&season=3,Cuba(LILCUBA),Didn't Play,Ishtar,Jungle,Fill,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 16:27:22,LVL100BEHEMOTH,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199016909201/overview,mrsneaky4,Didn't Play,,Jungle,Jungle,No,No,No,No,No,Yes,Yes,Yes,available
12/1/2025 8:27:15,MrJU1CY,Drafted Players,https://tracker.gg/smite2/profile/psn/MrJU1CY/matches?gamemode=conquest-ranked&season=3,Mrju1cy,Didn't Play,Ishtar,Jungle,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
